Study,Species,Genus,Family,Order,Migration_distance,Location,Latitude,Longitude,Continent,Start_year,End_year,Predictor,Response_variable,Slope,SE,SE_calc,N,P_value,T_value,Temperature_location,Data_source,Arrival_location,,gendiet,maindiet,bodymass,bodysource,genhabitat,mainhabitat,hemisphere
"Sokolov, L.V. (2006) Effect of global warming on the timing of migration and breeding of passerine birds in the 20th century. Zoologicheskii   Zhurnal, 85, 317–341.    ",Phylloscopus trochilus,Phylloscopus,Phylloscopidae,Passeriformes,long,Russia,55.1,20.7,Europe,1959,2014,year,first arrival,-0.225,0.038,,,,,,standardized capture and ringing,breeding,,,,,,,,
"Sokolov, L.V. (2006) Effect of global warming on the timing of migration and breeding of passerine birds in the 20th century. Zoologicheskii   Zhurnal, 85, 317–341.    ",Phylloscopus trochilus,Phylloscopus,Phylloscopidae,Passeriformes,long,Russia,55.1,20.7,Europe,1959,2014,year,median arrival,-0.256,0.035,,,,,,standardized capture and ringing,breeding,,,,,,,,
"Sokolov, L.V. (2006) Effect of global warming on the timing of migration and breeding of passerine birds in the 20th century. Zoologicheskii   Zhurnal, 85, 317–341.    ",Phylloscopus sibilatrix,Phylloscopus,Phylloscopidae,Passeriformes,long,Russia,55.1,20.7,Europe,1959,2014,year,first arrival,-0.204,0.034,,,,,,standardized capture and ringing,breeding,,,,,,,,
"Sokolov, L.V. (2006) Effect of global warming on the timing of migration and breeding of passerine birds in the 20th century. Zoologicheskii   Zhurnal, 85, 317–341.    ",Phylloscopus sibilatrix,Phylloscopus,Phylloscopidae,Passeriformes,long,Russia,55.1,20.7,Europe,1959,2014,year,median arrival,-0.17,0.036,,,,,,standardized capture and ringing,breeding,,,,,,,,
"Sokolov, L.V. (2006) Effect of global warming on the timing of migration and breeding of passerine birds in the 20th century. Zoologicheskii   Zhurnal, 85, 317–341.    ",Sylvia curruca,Sylvia,Sylviidae,Passeriformes,long,Russia,55.1,20.7,Europe,1959,2014,year,first arrival,-0.253,0.039,,,,,,standardized capture and ringing,breeding,,,,,,,,
"Sokolov, L.V. (2006) Effect of global warming on the timing of migration and breeding of passerine birds in the 20th century. Zoologicheskii   Zhurnal, 85, 317–341.    ",Sylvia curruca,Sylvia,Sylviidae,Passeriformes,long,Russia,55.1,20.7,Europe,1959,2014,year,median arrival,-0.28,0.047,,,,,,standardized capture and ringing,breeding,,,,,,,,
"Sokolov, L.V. (2006) Effect of global warming on the timing of migration and breeding of passerine birds in the 20th century. Zoologicheskii   Zhurnal, 85, 317–341.    ",Sylvia communis,Sylvia,Sylviidae,Passeriformes,long,Russia,55.1,20.7,Europe,1959,2014,year,first arrival,-0.06,0.041,,,,,,standardized capture and ringing,breeding,,,,,,,,
"Sokolov, L.V. (2006) Effect of global warming on the timing of migration and breeding of passerine birds in the 20th century. Zoologicheskii   Zhurnal, 85, 317–341.    ",Sylvia communis,Sylvia,Sylviidae,Passeriformes,long,Russia,55.1,20.7,Europe,1959,2014,year,median arrival,-0.28,0.047,,,,,,standardized capture and ringing,breeding,,,,,,,,
"Sokolov, L.V. (2006) Effect of global warming on the timing of migration and breeding of passerine birds in the 20th century. Zoologicheskii   Zhurnal, 85, 317–341.    ",Sylvia borin,Sylvia,Sylviidae,Passeriformes,long,Russia,55.1,20.7,Europe,1959,2014,year,first arrival,-0.009,0.042,,,,,,standardized capture and ringing,breeding,,,,,,,,
"Sokolov, L.V. (2006) Effect of global warming on the timing of migration and breeding of passerine birds in the 20th century. Zoologicheskii   Zhurnal, 85, 317–341.    ",Sylvia borin,Sylvia,Sylviidae,Passeriformes,long,Russia,55.1,20.7,Europe,1959,2014,year,median arrival,-0.28,0.047,,,,,,standardized capture and ringing,breeding,,,,,,,,
"Sokolov, L.V. (2006) Effect of global warming on the timing of migration and breeding of passerine birds in the 20th century. Zoologicheskii   Zhurnal, 85, 317–341.    ",Hippolais icterina,Hippolais,Acrocephalidae,Passeriformes,long,Russia,55.1,20.7,Europe,1959,2014,year,first arrival,-0.024,0.039,,,,,,standardized capture and ringing,breeding,,,,,,,,
"Sokolov, L.V. (2006) Effect of global warming on the timing of migration and breeding of passerine birds in the 20th century. Zoologicheskii   Zhurnal, 85, 317–341.    ",Hippolais icterina,Hippolais,Acrocephalidae,Passeriformes,long,Russia,55.1,20.7,Europe,1959,2014,year,median arrival,-0.101,0.023,,,,,,standardized capture and ringing,breeding,,,,,,,,
"Sokolov, L.V. (2006) Effect of global warming on the timing of migration and breeding of passerine birds in the 20th century. Zoologicheskii   Zhurnal, 85, 317–341.    ",Phoenicurus phoenicurus,Phoenicurus,Muscicapidae,Passeriformes,long,Russia,55.1,20.7,Europe,1959,2014,year,first arrival,-0.005,0.057,,,,,,standardized capture and ringing,breeding,,,,,,,,
"Sokolov, L.V. (2006) Effect of global warming on the timing of migration and breeding of passerine birds in the 20th century. Zoologicheskii   Zhurnal, 85, 317–341.    ",Phoenicurus phoenicurus,Phoenicurus,Muscicapidae,Passeriformes,long,Russia,55.1,20.7,Europe,1959,2014,year,median arrival,-0.14,0.051,,,,,,standardized capture and ringing,breeding,,,,,,,,
"Sokolov, L.V. (2006) Effect of global warming on the timing of migration and breeding of passerine birds in the 20th century. Zoologicheskii   Zhurnal, 85, 317–341.    ",Carpodacus erythrinus,Carpodacus,Fringillidae,Passeriformes,long,Russia,55.1,20.7,Europe,1959,2014,year,first arrival,0.037,0.038,,,,,,standardized capture and ringing,breeding,,,,,,,,
"Sokolov, L.V. (2006) Effect of global warming on the timing of migration and breeding of passerine birds in the 20th century. Zoologicheskii   Zhurnal, 85, 317–341.    ",Carpodacus erythrinus,Carpodacus,Fringillidae,Passeriformes,long,Russia,55.1,20.7,Europe,1959,2014,year,median arrival,0.017,0.034,,,,,,standardized capture and ringing,breeding,,,,,,,,
"Eddowes, M.J. (2012) Evidence that rates of advancement of long–distance passerine migrant arrival in the UK have been higher among earlier–arriving species. Ringing & Migration, 27, 60–63.    ",Falco subbuteo,Falco,Falconidae,Falconiformes,long,United Kingdom,51.5,0.1,Europe,2002,2011,year,median arrival,-0.293,0.322,-0.322,10,0.39,0.909,,citizen science data,passage or breeding,,,,,,,,
"Eddowes, M.J. (2012) Evidence that rates of advancement of long–distance passerine migrant arrival in the UK have been higher among earlier–arriving species. Ringing & Migration, 27, 60–63.    ",Streptopelia turtur,Streptopelia,Columbidae,Columbiformes,long,United Kingdom,51.5,0.1,Europe,2002,2011,year,median arrival,0.202,0.414,0.414,10,0.639,0.487,,citizen science data,passage or breeding,,,,,,,,
"Eddowes, M.J. (2012) Evidence that rates of advancement of long–distance passerine migrant arrival in the UK have been higher among earlier–arriving species. Ringing & Migration, 27, 60–63.    ",Cuculus canorus,Cuculus,Cuculidae,Cuculiformes,long,United Kingdom,51.5,0.1,Europe,2002,2011,year,median arrival,0.101,0.37,0.37,10,0.792,0.273,,citizen science data,passage or breeding,,,,,,,,
"Eddowes, M.J. (2012) Evidence that rates of advancement of long–distance passerine migrant arrival in the UK have been higher among earlier–arriving species. Ringing & Migration, 27, 60–63.    ",Apus apus,Apus,Apodidae,Apodiformes,long,United Kingdom,51.5,0.1,Europe,2002,2011,year,median arrival,0.564,0.229,0.229,10,0.039,2.465,,citizen science data,passage or breeding,,,,,,,,
"Eddowes, M.J. (2012) Evidence that rates of advancement of long–distance passerine migrant arrival in the UK have been higher among earlier–arriving species. Ringing & Migration, 27, 60–63.    ",Riparia riparia,Riparia,Hirundinidae,Passeriformes,long,United Kingdom,51.5,0.1,Europe,2002,2011,year,median arrival,-0.628,0.346,-0.346,10,0.107,1.815,,citizen science data,passage or breeding,,,,,,,,
"Eddowes, M.J. (2012) Evidence that rates of advancement of long–distance passerine migrant arrival in the UK have been higher among earlier–arriving species. Ringing & Migration, 27, 60–63.    ",Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,long,United Kingdom,51.5,0.1,Europe,2002,2011,year,median arrival,-0.559,0.318,-0.318,10,0.117,1.757,,citizen science data,passage or breeding,,,,,,,,
"Eddowes, M.J. (2012) Evidence that rates of advancement of long–distance passerine migrant arrival in the UK have been higher among earlier–arriving species. Ringing & Migration, 27, 60–63.    ",Delichon urbicum,Delichon,Hirundinidae,Passeriformes,long,United Kingdom,51.5,0.1,Europe,2002,2011,year,median arrival,0.39,0.302,0.302,10,0.233,1.29,,citizen science data,passage or breeding,,,,,,,,
"Eddowes, M.J. (2012) Evidence that rates of advancement of long–distance passerine migrant arrival in the UK have been higher among earlier–arriving species. Ringing & Migration, 27, 60–63.    ",Phylloscopus sibilatrix,Phylloscopus,Phylloscopidae,Passeriformes,long,United Kingdom,51.5,0.1,Europe,2002,2011,year,median arrival,0.003,0.58,0.58,10,0.996,0.005,,citizen science data,passage or breeding,,,,,,,,
"Eddowes, M.J. (2012) Evidence that rates of advancement of long–distance passerine migrant arrival in the UK have been higher among earlier–arriving species. Ringing & Migration, 27, 60–63.    ",Phylloscopus trochilus,Phylloscopus,Phylloscopidae,Passeriformes,long,United Kingdom,51.5,0.1,Europe,2002,2011,year,median arrival,-0.413,0.227,-0.227,10,0.107,1.815,,citizen science data,passage or breeding,,,,,,,,
"Eddowes, M.J. (2012) Evidence that rates of advancement of long–distance passerine migrant arrival in the UK have been higher among earlier–arriving species. Ringing & Migration, 27, 60–63.    ",Sylvia borin,Sylvia,Sylviidae,Passeriformes,long,United Kingdom,51.5,0.1,Europe,2002,2011,year,median arrival,-0.114,0.364,-0.364,10,0.762,0.313,,citizen science data,passage or breeding,,,,,,,,
"Eddowes, M.J. (2012) Evidence that rates of advancement of long–distance passerine migrant arrival in the UK have been higher among earlier–arriving species. Ringing & Migration, 27, 60–63.    ",Sylvia curruca,Sylvia,Sylviidae,Passeriformes,long,United Kingdom,51.5,0.1,Europe,2002,2011,year,median arrival,-0.799,0.276,-0.276,10,0.02,2.896,,citizen science data,passage or breeding,,,,,,,,
"Eddowes, M.J. (2012) Evidence that rates of advancement of long–distance passerine migrant arrival in the UK have been higher among earlier–arriving species. Ringing & Migration, 27, 60–63.    ",Sylvia communis,Sylvia,Sylviidae,Passeriformes,long,United Kingdom,51.5,0.1,Europe,2002,2011,year,median arrival,-0.219,0.347,-0.347,10,0.545,0.632,,citizen science data,passage or breeding,,,,,,,,
"Eddowes, M.J. (2012) Evidence that rates of advancement of long–distance passerine migrant arrival in the UK have been higher among earlier–arriving species. Ringing & Migration, 27, 60–63.    ",Locustella naevia,Locustella,Locustellidae,Passeriformes,long,United Kingdom,51.5,0.1,Europe,2002,2011,year,median arrival,-0.273,0.281,-0.281,10,0.36,0.971,,citizen science data,passage or breeding,,,,,,,,
"Eddowes, M.J. (2012) Evidence that rates of advancement of long–distance passerine migrant arrival in the UK have been higher among earlier–arriving species. Ringing & Migration, 27, 60–63.    ",Acrocephalus schoenobaenus,Acrocephalus,Acrocephalidae,Passeriformes,long,United Kingdom,51.5,0.1,Europe,2002,2011,year,median arrival,-0.16,0.409,-0.409,10,0.706,0.391,,citizen science data,passage or breeding,,,,,,,,
"Eddowes, M.J. (2012) Evidence that rates of advancement of long–distance passerine migrant arrival in the UK have been higher among earlier–arriving species. Ringing & Migration, 27, 60–63.    ",Acrocephalus scirpaceus,Acrocephalus,Acrocephalidae,Passeriformes,long,United Kingdom,51.5,0.1,Europe,2002,2011,year,median arrival,-0.313,0.357,-0.357,10,0.406,0.877,,citizen science data,passage or breeding,,,,,,,,
"Eddowes, M.J. (2012) Evidence that rates of advancement of long–distance passerine migrant arrival in the UK have been higher among earlier–arriving species. Ringing & Migration, 27, 60–63.    ",Muscicapa striata,Muscicapa,Muscicapidae,Passeriformes,long,United Kingdom,51.5,0.1,Europe,2002,2011,year,median arrival,0.153,0.606,0.606,10,0.807,0.253,,citizen science data,passage or breeding,,,,,,,,
"Eddowes, M.J. (2012) Evidence that rates of advancement of long–distance passerine migrant arrival in the UK have been higher among earlier–arriving species. Ringing & Migration, 27, 60–63.    ",Luscinia megarhynchos,Luscinia,Muscicapidae,Passeriformes,long,United Kingdom,51.5,0.1,Europe,2002,2011,year,median arrival,-0.272,0.249,-0.249,10,0.307,1.091,,citizen science data,passage or breeding,,,,,,,,
"Eddowes, M.J. (2012) Evidence that rates of advancement of long–distance passerine migrant arrival in the UK have been higher among earlier–arriving species. Ringing & Migration, 27, 60–63.    ",Phoenicurus phoenicurus,Phoenicurus,Muscicapidae,Passeriformes,long,United Kingdom,51.5,0.1,Europe,2002,2011,year,median arrival,-0.452,0.559,-0.559,10,0.442,0.809,,citizen science data,passage or breeding,,,,,,,,
"Eddowes, M.J. (2012) Evidence that rates of advancement of long–distance passerine migrant arrival in the UK have been higher among earlier–arriving species. Ringing & Migration, 27, 60–63.    ",Saxicola rubetra,Saxicola,Muscicapidae,Passeriformes,long,United Kingdom,51.5,0.1,Europe,2002,2011,year,median arrival,0.161,0.352,0.352,10,0.66,0.457,,citizen science data,passage or breeding,,,,,,,,
"Eddowes, M.J. (2012) Evidence that rates of advancement of long–distance passerine migrant arrival in the UK have been higher among earlier–arriving species. Ringing & Migration, 27, 60–63.    ",Ficedula hypoleuca,Ficedula,Muscicapidae,Passeriformes,long,United Kingdom,51.5,0.1,Europe,2002,2011,year,median arrival,-0.341,0.457,-0.457,10,0.477,0.746,,citizen science data,passage or breeding,,,,,,,,
"Eddowes, M.J. (2012) Evidence that rates of advancement of long–distance passerine migrant arrival in the UK have been higher among earlier–arriving species. Ringing & Migration, 27, 60–63.    ",Motacilla flava,Motacilla,Motacillidae,Passeriformes,long,United Kingdom,51.5,0.1,Europe,2002,2011,year,median arrival,-0.087,0.316,-0.316,10,0.79,0.275,,citizen science data,passage or breeding,,,,,,,,
"Eddowes, M.J. (2012) Evidence that rates of advancement of long–distance passerine migrant arrival in the UK have been higher among earlier–arriving species. Ringing & Migration, 27, 60–63.    ",Anthus trivialis,Anthus,Motacillidae,Passeriformes,long,United Kingdom,51.5,0.1,Europe,2002,2011,year,median arrival,0.18,4.799,4.799,10,0.971,0.038,,citizen science data,passage or breeding,,,,,,,,
"Gretch, M. (2008) Spring arrival of tree swallows and eastern phoebe in the Adirondacks. The Kinbird, 58, 230–232.       ",Tachycineta bicolor,Tachycineta,Hirundinidae,Passeriformes,unclassified,United States,44.2,-73.6,North America,1993,2004,year,first arrival,0.642,1.199,,,,,,citizen science data,passage or breeding,,,,,,,,
"Gretch, M. (2008) Spring arrival of tree swallows and eastern phoebe in the Adirondacks. The Kinbird, 58, 230–232.       ",Sayornis phoebe,Sayornis,Tyrannidae,Passeriformes,unclassified,United States,44.2,-73.6,North America,1993,2004,year,first arrival,-0.245,0.651,,,,,,citizen science data,passage or breeding,,,,,,,,
"Huin, N. & Sparks, T.H. (2000) Spring arrival patterns of the cuckoo Cuculus canorus, nightingale Luscinia megarhynchos and spotted flycatcher Musciapa striata in Britain. Bird Study, 47, 22–31.       ",Cuculus canorus,Cuculus,Cuculidae,Cuculiformes,long,United Kingdon,51.5,0.1,Europe,1888,1947,year,mean arrival,-0.038,0.036,,,,,,amateur ornithologist group,passage or breeding,,,,,,,,
"Huin, N. & Sparks, T.H. (2000) Spring arrival patterns of the cuckoo Cuculus canorus, nightingale Luscinia megarhynchos and spotted flycatcher Musciapa striata in Britain. Bird Study, 47, 22–31.       ",Luscinia megarhynchos,Luscinia,Muscicapidae,Passeriformes,long,United Kingdon,51.5,0.1,Europe,1888,1947,year,mean arrival,0.116,0.059,,,,,,amateur ornithologist group,passage or breeding,,,,,,,,
"Huin, N. & Sparks, T.H. (2000) Spring arrival patterns of the cuckoo Cuculus canorus, nightingale Luscinia megarhynchos and spotted flycatcher Musciapa striata in Britain. Bird Study, 47, 22–31.       ",Muscicapa striata,Muscicapa,Muscicapidae,Passeriformes,long,United Kingdon,51.5,0.1,Europe,1888,1947,year,mean arrival,0.04,0.038,,,,,,amateur ornithologist group,passage or breeding,,,,,,,,
"Huin, N. & Sparks, T.H. (1998) Arrival and progression of the swallow Hirundo rustica through Britain. Bird Study, 45, 361–370.",Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,long,United Kingdon,51.5,0.1,Europe,1888,1947,year,mean arrival,-0.014,0.036,,,,,,amateur ornithologist group,passage or breeding,,,,,,,,
"Jones, G.M., Zuckerberg, B. & Paulios, A.T. (2012) The early bird gets earlier: a phenological shift in migration timing of the American robin (Turdus migratorius) in the state of Wisconsin. The Passenger Pigeon, 74, 131–142.  ",Turdus migratorius,Turdus,Turdidae,Passeriformes,short,United States,44.5,-89.5,North America,1990,2010,year,first arrival,-0.561,0.258,,,,,,citizen science data,passage or breeding,,,,,,,,
"Jones, G.M., Zuckerberg, B. & Paulios, A.T. (2012) The early bird gets earlier: a phenological shift in migration timing of the American robin (Turdus migratorius) in the state of Wisconsin. The Passenger Pigeon, 74, 131–142.  ",Turdus migratorius,Turdus,Turdidae,Passeriformes,short,United States,44.5,-89.5,North America,1990,2010,year,mean arrival,-0.703,0.261,,,,,,citizen science data,passage or breeding,,,,,,,,
"Khaleghizadeh, A. (2005) Phenology of the common swift Apus apus in the middle east – Tehran, Iran. Sandgrouse, 27, 79–81",Apus apus,Apus,Apodidae,Apodiformes,unclassified,Iran,35.7,51.4,Asia,1968,2001,year,first arrival,-0.398,0.125,,,,,,citizen science data,passage,,,,,,,,
"Nakata, M., Chino, N., Chiba, A., Komatsu, Y., Itoh, Y., Akahara, K…, & Fujisawa, M. (2011) Chronological trends in the timing of spring bird migration and its relationship with temperature in a coastal forest near the city of Niigata. Japan Journal of Ornithology, 60, 63–72. ",Ixos amaurotis,Ixos,Pycnonotidae,Passeriformes,short,Japan,37.9,139,Asia,1989,2008,year,median arrival,-0.2,0.34,-0.34,20,0.56,0.59,,standardized scientist observation in field or centre,passage or breeding,,,,,,,,
"Nakata, M., Chino, N., Chiba, A., Komatsu, Y., Itoh, Y., Akahara, K…, & Fujisawa, M. (2011) Chronological trends in the timing of spring bird migration and its relationship with temperature in a coastal forest near the city of Niigata. Japan Journal of Ornithology, 60, 63–72. ",Lanius bucephalus,Lanius,Laniidae,Passeriformes,short,Japan,37.9,139,Asia,1989,2008,year,median arrival,-0.46,0.23,-0.23,19,0.06,1.99,,standardized scientist observation in field or centre,passage or breeding,,,,,,,,
"Nakata, M., Chino, N., Chiba, A., Komatsu, Y., Itoh, Y., Akahara, K…, & Fujisawa, M. (2011) Chronological trends in the timing of spring bird migration and its relationship with temperature in a coastal forest near the city of Niigata. Japan Journal of Ornithology, 60, 63–72. ",Tarsiger cyanurus,Tarsiger,Muscicapidae,Passeriformes,short,Japan,37.9,139,Asia,1989,2008,year,median arrival,-0.1,0.1,-0.1,20,0.32,1.02,,standardized scientist observation in field or centre,passage or breeding,,,,,,,,
"Nakata, M., Chino, N., Chiba, A., Komatsu, Y., Itoh, Y., Akahara, K…, & Fujisawa, M. (2011) Chronological trends in the timing of spring bird migration and its relationship with temperature in a coastal forest near the city of Niigata. Japan Journal of Ornithology, 60, 63–72. ",Turdus chrysolaus,Turdus,Turdidae,Passeriformes,short,Japan,37.9,139,Asia,1989,2008,year,median arrival,-0.05,0.15,-0.15,18,0.75,0.33,,standardized scientist observation in field or centre,passage or breeding,,,,,,,,
"Nakata, M., Chino, N., Chiba, A., Komatsu, Y., Itoh, Y., Akahara, K…, & Fujisawa, M. (2011) Chronological trends in the timing of spring bird migration and its relationship with temperature in a coastal forest near the city of Niigata. Japan Journal of Ornithology, 60, 63–72. ",Zosterops japonicus,Zosterops,Zosteropidae,Passeriformes,short,Japan,37.9,139,Asia,1989,2008,year,median arrival,-0.08,0.17,-0.17,20,0.65,0.46,,standardized scientist observation in field or centre,passage or breeding,,,,,,,,
"Nakata, M., Chino, N., Chiba, A., Komatsu, Y., Itoh, Y., Akahara, K…, & Fujisawa, M. (2011) Chronological trends in the timing of spring bird migration and its relationship with temperature in a coastal forest near the city of Niigata. Japan Journal of Ornithology, 60, 63–72. ",Emberiza spodocephala,Emberiza,Emberizidae,Passeriformes,short,Japan,37.9,139,Asia,1989,2008,year,median arrival,-0.05,0.11,-0.11,20,0.67,0.44,,standardized scientist observation in field or centre,passage or breeding,,,,,,,,
"Nakata, M., Chino, N., Chiba, A., Komatsu, Y., Itoh, Y., Akahara, K…, & Fujisawa, M. (2011) Chronological trends in the timing of spring bird migration and its relationship with temperature in a coastal forest near the city of Niigata. Japan Journal of Ornithology, 60, 63–72. ",Emberiza variabilis,Emberiza,Emberizidae,Passeriformes,short,Japan,37.9,139,Asia,1989,2008,year,median arrival,-0.29,0.19,-0.19,19,0.14,1.53,,standardized scientist observation in field or centre,passage or breeding,,,,,,,,
"Nakata, M., Chino, N., Chiba, A., Komatsu, Y., Itoh, Y., Akahara, K…, & Fujisawa, M. (2011) Chronological trends in the timing of spring bird migration and its relationship with temperature in a coastal forest near the city of Niigata. Japan Journal of Ornithology, 60, 63–72. ",Erithacus akahige,Erithacus,Muscicapidae,Passeriformes,long,Japan,37.9,139,Asia,1989,2008,year,median arrival,-0.52,0.36,-0.36,8,0.2,1.43,,standardized scientist observation in field or centre,passage or breeding,,,,,,,,
"Nakata, M., Chino, N., Chiba, A., Komatsu, Y., Itoh, Y., Akahara, K…, & Fujisawa, M. (2011) Chronological trends in the timing of spring bird migration and its relationship with temperature in a coastal forest near the city of Niigata. Japan Journal of Ornithology, 60, 63–72. ",Luscinia cyane,Luscinia,Muscicapidae,Passeriformes,long,Japan,37.9,139,Asia,1989,2008,year,median arrival,-0.08,0.15,-0.15,19,0.61,0.52,,standardized scientist observation in field or centre,passage or breeding,,,,,,,,
"Nakata, M., Chino, N., Chiba, A., Komatsu, Y., Itoh, Y., Akahara, K…, & Fujisawa, M. (2011) Chronological trends in the timing of spring bird migration and its relationship with temperature in a coastal forest near the city of Niigata. Japan Journal of Ornithology, 60, 63–72. ",Turdus cardis,Turdus,Turdidae,Passeriformes,long,Japan,37.9,139,Asia,1989,2008,year,median arrival,-0.18,0.15,-0.15,20,0.24,1.21,,standardized scientist observation in field or centre,passage or breeding,,,,,,,,
"Nakata, M., Chino, N., Chiba, A., Komatsu, Y., Itoh, Y., Akahara, K…, & Fujisawa, M. (2011) Chronological trends in the timing of spring bird migration and its relationship with temperature in a coastal forest near the city of Niigata. Japan Journal of Ornithology, 60, 63–72. ",Turdus pallidus,Turdus,Turdidae,Passeriformes,long,Japan,37.9,139,Asia,1989,2008,year,median arrival,-0.1,0.13,-0.13,19,0.46,0.75,,standardized scientist observation in field or centre,passage or breeding,,,,,,,,
"Nakata, M., Chino, N., Chiba, A., Komatsu, Y., Itoh, Y., Akahara, K…, & Fujisawa, M. (2011) Chronological trends in the timing of spring bird migration and its relationship with temperature in a coastal forest near the city of Niigata. Japan Journal of Ornithology, 60, 63–72. ",Urosphena squameiceps,Urosphena,Cettiidae,Passeriformes,long,Japan,37.9,139,Asia,1989,2008,year,median arrival,-0.19,0.22,-0.22,18,0.4,0.86,,standardized scientist observation in field or centre,passage or breeding,,,,,,,,
"Nakata, M., Chino, N., Chiba, A., Komatsu, Y., Itoh, Y., Akahara, K…, & Fujisawa, M. (2011) Chronological trends in the timing of spring bird migration and its relationship with temperature in a coastal forest near the city of Niigata. Japan Journal of Ornithology, 60, 63–72. ",Phylloscopus borealis,Phylloscopus,Phylloscopidae,Passeriformes,long,Japan,37.9,139,Asia,1989,2008,year,median arrival,-0.04,0.12,-0.12,20,0.74,0.34,,standardized scientist observation in field or centre,passage or breeding,,,,,,,,
"Nakata, M., Chino, N., Chiba, A., Komatsu, Y., Itoh, Y., Akahara, K…, & Fujisawa, M. (2011) Chronological trends in the timing of spring bird migration and its relationship with temperature in a coastal forest near the city of Niigata. Japan Journal of Ornithology, 60, 63–72. ",Phylloscopus tenellipes,Phylloscopus,Phylloscopidae,Passeriformes,long,Japan,37.9,139,Asia,1989,2008,year,median arrival,-0.09,0.17,-0.17,20,0.59,0.54,,standardized scientist observation in field or centre,passage or breeding,,,,,,,,
"Nakata, M., Chino, N., Chiba, A., Komatsu, Y., Itoh, Y., Akahara, K…, & Fujisawa, M. (2011) Chronological trends in the timing of spring bird migration and its relationship with temperature in a coastal forest near the city of Niigata. Japan Journal of Ornithology, 60, 63–72. ",Phylloscopus coronatus,Phylloscopus,Phylloscopidae,Passeriformes,long,Japan,37.9,139,Asia,1989,2008,year,median arrival,0.04,0.21,0.21,19,0.85,0.19,,standardized scientist observation in field or centre,passage or breeding,,,,,,,,
"Nakata, M., Chino, N., Chiba, A., Komatsu, Y., Itoh, Y., Akahara, K…, & Fujisawa, M. (2011) Chronological trends in the timing of spring bird migration and its relationship with temperature in a coastal forest near the city of Niigata. Japan Journal of Ornithology, 60, 63–72. ",Ficedula narcissina,Ficedula,Muscicapidae,Passeriformes,long,Japan,37.9,139,Asia,1989,2008,year,median arrival,-0.42,0.17,-0.17,14,0.03,2.43,,standardized scientist observation in field or centre,passage or breeding,,,,,,,,
"Nakata, M., Chino, N., Chiba, A., Komatsu, Y., Itoh, Y., Akahara, K…, & Fujisawa, M. (2011) Chronological trends in the timing of spring bird migration and its relationship with temperature in a coastal forest near the city of Niigata. Japan Journal of Ornithology, 60, 63–72. ",Cyanoptila cyanomelana,Cyanoptila,Muscicapidae,Passeriformes,long,Japan,37.9,139,Asia,1989,2008,year,median arrival,0.17,0.18,0.18,15,0.37,0.94,,standardized scientist observation in field or centre,passage or breeding,,,,,,,,
"Nakata, M., Chino, N., Chiba, A., Komatsu, Y., Itoh, Y., Akahara, K…, & Fujisawa, M. (2011) Chronological trends in the timing of spring bird migration and its relationship with temperature in a coastal forest near the city of Niigata. Japan Journal of Ornithology, 60, 63–72. ",Muscicapa dauurica,Muscicapa,Muscicapidae,Passeriformes,long,Japan,37.9,139,Asia,1989,2008,year,median arrival,0.19,0.34,0.34,5,0.61,0.56,,standardized scientist observation in field or centre,passage or breeding,,,,,,,,
"Nakata, M., Chino, N., Chiba, A., Komatsu, Y., Itoh, Y., Akahara, K…, & Fujisawa, M. (2011) Chronological trends in the timing of spring bird migration and its relationship with temperature in a coastal forest near the city of Niigata. Japan Journal of Ornithology, 60, 63–72. ",Fringilla montifringilla,Fringilla,Fringillidae,Passeriformes,long,Japan,37.9,139,Asia,1989,2008,year,median arrival,-0.39,0.53,-0.53,10,0.49,0.73,,standardized scientist observation in field or centre,passage or breeding,,,,,,,,
"Nakata, M., Chino, N., Chiba, A., Komatsu, Y., Itoh, Y., Akahara, K…, & Fujisawa, M. (2011) Chronological trends in the timing of spring bird migration and its relationship with temperature in a coastal forest near the city of Niigata. Japan Journal of Ornithology, 60, 63–72. ",Carduelis spinus,Carduelis,Fringillidae,Passeriformes,long,Japan,37.9,139,Asia,1989,2008,year,median arrival,0.66,0.85,0.85,6,0.48,0.78,,standardized scientist observation in field or centre,passage or breeding,,,,,,,,
"Robson, D. & Barriocanal, C. (2011) Ecological conditions in wintering and passage areas as determinants of timing of spring migration in trans–Saharan migratory birds. Journal of Animal Ecology, 80, 320–331.  ",Acrocephalus scirpaceus,Acrocephalus,Acrocephalidae,Passeriformes,long,Spain,39.6,-2.7,Europe,1993,2007,year,mean arrival,-0.32,0.26,,,,,,standardized capture and ringing,passage,,,,,,,,
"Robson, D. & Barriocanal, C. (2011) Ecological conditions in wintering and passage areas as determinants of timing of spring migration in trans–Saharan migratory birds. Journal of Animal Ecology, 80, 320–331.  ",Ficedula hypoleuca,Ficedula,Muscicapidae,Passeriformes,long,Spain,39.6,-2.7,Europe,1993,2007,year,mean arrival,-0.19,0.25,,,,,,standardized capture and ringing,passage,,,,,,,,
